age,education,housing,loan,duration,empratevar,consconfid,y
56,1,0,0,261,1.1,-36.4,0
57,2,0,0,149,1.1,-36.4,0
37,2,1,0,226,1.1,-36.4,0
40,1,0,0,151,1.1,-36.4,0
56,2,0,1,307,1.1,-36.4,0
45,1,0,0,198,1.1,-36.4,0
59,3,0,0,139,1.1,-36.4,0
41,0,0,0,217,1.1,-36.4,0
24,3,1,0,380,1.1,-36.4,0
25,2,1,0,50,1.1,-36.4,0
41,0,0,0,55,1.1,-36.4,0
25,2,1,0,222,1.1,-36.4,0
29,2,0,1,137,1.1,-36.4,0
57,1,1,0,293,1.1,-36.4,0
35,1,1,0,146,1.1,-36.4,0
54,1,1,1,174,1.1,-36.4,0
35,1,1,0,312,1.1,-36.4,0
46,1,1,1,440,1.1,-36.4,0
50,1,1,1,353,1.1,-36.4,0
39,1,0,0,195,1.1,-36.4,0
30,2,0,0,38,1.1,-36.4,0
55,1,1,0,262,1.1,-36.4,0
55,2,1,0,342,1.1,-36.4,0
41,2,1,0,181,1.1,-36.4,0
37,2,1,0,172,1.1,-36.4,0
35,4,0,1,99,1.1,-36.4,0
59,0,1,0,93,1.1,-36.4,0
39,1,0,0,233,1.1,-36.4,0
54,4,0,0,255,1.1,-36.4,0
55,4,0,0,362,1.1,-36.4,0
46,0,0,0,348,1.1,-36.4,0
59,0,1,0,386,1.1,-36.4,0
49,0,0,0,73,1.1,-36.4,0
54,1,1,0,230,1.1,-36.4,0
54,1,0,0,208,1.1,-36.4,0
55,1,1,0,336,1.1,-36.4,0
34,2,0,0,365,1.1,-36.4,0
52,1,1,0,1666,1.1,-36.4,0
41,4,1,0,577,1.1,-36.4,0
56,1,1,0,137,1.1,-36.4,0
58,4,1,0,366,1.1,-36.4,0
32,2,1,0,314,1.1,-36.4,0
38,3,0,0,160,1.1,-36.4,0
57,4,0,1,212,1.1,-36.4,0
44,4,1,0,188,1.1,-36.4,0
42,3,0,0,22,1.1,-36.4,0
57,4,1,1,616,1.1,-36.4,0
40,1,0,1,178,1.1,-36.4,0
35,4,1,0,355,1.1,-36.4,0
45,1,1,0,225,1.1,-36.4,0
54,2,0,0,160,1.1,-36.4,0
39,1,0,1,266,1.1,-36.4,0
60,2,0,0,253,1.1,-36.4,0
53,3,0,0,179,1.1,-36.4,0
55,1,0,0,269,1.1,-36.4,0
55,3,1,0,135,1.1,-36.4,0
50,4,0,1,161,1.1,-36.4,0
45,2,1,0,787,1.1,-36.4,0
55,3,1,1,145,1.1,-36.4,0
25,4,1,0,174,1.1,-36.4,0
47,4,0,0,449,1.1,-36.4,0
51,1,1,0,812,1.1,-36.4,0
42,1,1,0,164,1.1,-36.4,0
42,1,0,0,366,1.1,-36.4,0
48,2,0,0,357,1.1,-36.4,0
37,4,0,0,232,1.1,-36.4,0
44,1,1,0,91,1.1,-36.4,0
33,0,1,0,273,1.1,-36.4,0
56,1,1,0,158,1.1,-36.4,0
44,1,1,1,177,1.1,-36.4,0
41,1,0,0,200,1.1,-36.4,0
44,4,1,0,172,1.1,-36.4,0
47,4,1,0,176,1.1,-36.4,0
57,0,0,0,211,1.1,-36.4,0
37,4,1,0,214,1.1,-36.4,0
41,1,1,0,1575,1.1,-36.4,1
55,4,0,0,349,1.1,-36.4,0
33,2,1,0,337,1.1,-36.4,0
55,0,1,0,272,1.1,-36.4,0
42,1,0,0,208,1.1,-36.4,0
50,1,1,0,193,1.1,-36.4,0
51,1,0,0,212,1.1,-36.4,0
38,2,0,0,165,1.1,-36.4,0
49,4,1,0,1042,1.1,-36.4,1
38,4,0,1,20,1.1,-36.4,0
31,2,0,0,246,1.1,-36.4,0
41,1,0,0,529,1.1,-36.4,0
39,4,1,1,192,1.1,-36.4,0
49,1,0,0,1467,1.1,-36.4,1
34,2,1,0,188,1.1,-36.4,0
35,4,1,0,180,1.1,-36.4,0
57,0,1,0,48,1.1,-36.4,0
60,0,0,1,213,1.1,-36.4,0
33,1,0,0,545,1.1,-36.4,0
42,1,0,1,583,1.1,-36.4,0
45,3,1,0,221,1.1,-36.4,0
42,4,0,0,426,1.1,-36.4,0
53,4,0,0,287,1.1,-36.4,0
37,3,0,0,197,1.1,-36.4,0
44,1,0,0,257,1.1,-36.4,0
54,0,1,0,229,1.1,-36.4,0
49,1,0,0,55,1.1,-36.4,0
54,0,0,0,400,1.1,-36.4,0
52,4,0,0,197,1.1,-36.4,0
52,4,0,0,190,1.1,-36.4,0
43,2,0,0,21,1.1,-36.4,0
34,1,1,0,300,1.1,-36.4,0
35,2,1,0,123,1.1,-36.4,0
42,0,1,0,293,1.1,-36.4,0
43,0,1,1,325,1.1,-36.4,0
60,4,0,0,514,1.1,-36.4,0
